Subject	Age	Gender	Handedness	Rotation	Data	OraStart	TrialCount	TrialType	Prime	Target	Relatedness	rt	Resp
1	22	Female	Right	A	10/11/2016	13:25:40	1	Prova	wellness	well	4	45047	2
1	22	Female	Right	A	10/11/2016	13:25:40	2	Prova	homeless	home	4	0	2
1	22	Female	Right	A	10/11/2016	13:25:40	3	Prova	tricky	tricker	4	221	1
1	22	Female	Right	A	10/11/2016	13:25:40	4	Prova	character	char	4	251	2
1	22	Female	Right	A	10/11/2016	13:25:40	5	Prova	translater	pulter	4	578	2
1	22	Female	Right	A	10/11/2016	13:25:40	6	Prova2	escape	exat	4	792	1
1	22	Female	Right	A	10/11/2016	13:25:40	7	Prova2	investigator	invest	4	582	2
1	22	Female	Right	A	10/11/2016	13:25:40	8	Prova2	examiner	exam	4	447	2
1	22	Female	Right	A	10/11/2016	13:25:40	9	Prova2	topic	top	4	444	2
1	22	Female	Right	A	10/11/2016	13:25:40	1	Warmup	unpack	pack	5	597	2
1	22	Female	Right	A	10/11/2016	13:25:40	2	Warmup	tartare	tariff	5	541	2
1	22	Female	Right	A	10/11/2016	13:25:40	3	Warmup	cowrie	sturms	5	785	1
1	22	Female	Right	A	10/11/2016	13:25:40	4	Warmup	cortex	newbie	5	922	1
1	22	Female	Right	A	10/11/2016	13:25:40	5	Warmup	pullma	pulm	5	907	1
1	22	Female	Right	A	10/11/2016	13:25:40	1	TrialPrimaParte	benignly	basil	0	445	2
1	22	Female	Right	A	10/11/2016	13:25:40	2	TrialPrimaParte	narrowly	scull	0	715	2
1	22	Female	Right	A	10/11/2016	13:25:40	3	TrialPrimaParte	loyally	buzz	0	1030	2
1	22	Female	Right	A	10/11/2016	13:25:40	4	TrialPrimaParte	plonking	pluny	2	744	1
1	22	Female	Right	A	10/11/2016	13:25:40	5	TrialPrimaParte	fossilise	oxygen	0	630	2
1	22	Female	Right	A	10/11/2016	13:25:40	6	TrialPrimaParte	exemption	renew	0	718	2
1	22	Female	Right	A	10/11/2016	13:25:40	7	TrialPrimaParte	message	rosty	2	765	2
1	22	Female	Right	A	10/11/2016	13:25:40	8	TrialPrimaParte	opposition	nunfy	2	656	2
1	22	Female	Right	A	10/11/2016	13:25:40	9	TrialPrimaParte	helmet	helm	1	631	2
1	22	Female	Right	A	10/11/2016	13:25:40	10	TrialPrimaParte	ability	colon	0	588	2
1	22	Female	Right	A	10/11/2016	13:25:40	11	TrialPrimaParte	composer	alarm	0	627	2
1	22	Female	Right	A	10/11/2016	13:25:40	12	TrialPrimaParte	maternal	malern	2	816	1
1	22	Female	Right	A	10/11/2016	13:25:40	13	TrialPrimaParte	idealism	splint	0	869	2
1	22	Female	Right	A	10/11/2016	13:25:40	14	TrialPrimaParte	alcoholic	fruit	0	492	2
