Subject	Age	Gender	Handedness	Rotation	Data	OraStart	TrialCount	TrialType	Prime	Target	Relatedness	rt	Resp
28	24	Female	Right	B	22/11/2016	14:34:29	1	Prova	produce	prode	4	740	1
28	24	Female	Right	B	22/11/2016	14:34:29	2	Prova	ricordo	rico	4	788	1
28	24	Female	Right	B	22/11/2016	14:34:29	3	Prova	ribelle	ribes	4	585	1
28	24	Female	Right	B	22/11/2016	14:34:29	4	Prova	prostata	prosta	4	1161	1
28	24	Female	Right	B	22/11/2016	14:34:29	5	Prova	dedotto	potto	4	799	1
28	24	Female	Right	B	22/11/2016	14:34:29	6	Prova2	prelato	lato	4	629	2
28	24	Female	Right	B	22/11/2016	14:34:29	7	Prova2	ripiano	piano	4	735	2
28	24	Female	Right	B	22/11/2016	14:34:29	8	Prova2	prefitto	fitto	4	683	1
28	24	Female	Right	B	22/11/2016	14:34:29	9	Prova2	distratto	abbo	4	610	1
28	24	Female	Right	B	22/11/2016	14:34:29	1	Warmup	rituale	pigiama	5	708	2
28	24	Female	Right	B	22/11/2016	14:34:29	2	Warmup	globale	glole	5	562	1
28	24	Female	Right	B	22/11/2016	14:34:29	3	Warmup	operaio	opera	5	572	1
28	24	Female	Right	B	22/11/2016	14:34:29	4	Warmup	privato	spugo	5	673	1
28	24	Female	Right	B	22/11/2016	14:34:29	5	Warmup	pugnal	pugn	5	594	1
28	24	Female	Right	B	22/11/2016	14:34:29	1	TrialPrimaParte	serenata	serena	1	547	2
28	24	Female	Right	B	22/11/2016	14:34:29	2	TrialPrimaParte	festivo	pigna	0	967	2
28	24	Female	Right	B	22/11/2016	14:34:29	3	TrialPrimaParte	paniere	pana	2	834	2
28	24	Female	Right	B	22/11/2016	14:34:29	4	TrialPrimaParte	araldico	liboi	2	774	1
28	24	Female	Right	B	22/11/2016	14:34:29	5	TrialPrimaParte	ferrata	lare	2	518	1
28	24	Female	Right	B	22/11/2016	14:34:29	6	TrialPrimaParte	urlatore	prisso	2	725	1
28	24	Female	Right	B	22/11/2016	14:34:29	7	TrialPrimaParte	elegante	elne	2	521	1
28	24	Female	Right	B	22/11/2016	14:34:29	8	TrialPrimaParte	reticolo	relo	2	504	1
28	24	Female	Right	B	22/11/2016	14:34:29	9	TrialPrimaParte	barracuda	barra	1	492	2
28	24	Female	Right	B	22/11/2016	14:34:29	10	TrialPrimaParte	corpuscolo	lopesta	2	571	1
28	24	Female	Right	B	22/11/2016	14:34:29	11	TrialPrimaParte	pittore	regia	0	515	1
28	24	Female	Right	B	22/11/2016	14:34:29	12	TrialPrimaParte	sostanza	sosta	1	590	1
28	24	Female	Right	B	22/11/2016	14:34:29	13	TrialPrimaParte	amaranto	aranto	2	820	1
28	24	Female	Right	B	22/11/2016	14:34:29	14	TrialPrimaParte	canguro	canu	2	550	1
28	24	Female	Right	B	22/11/2016	14:34:29	15	TrialPrimaParte	fondale	vetro	0	484	2
28	24	Female	Right	B	22/11/2016	14:34:29	16	TrialPrimaParte	pensionato	pensione	1	510	2
28	24	Female	Right	B	22/11/2016	14:34:29	17	TrialPrimaParte	violenza	viola	1	597	2
28	24	Female	Right	B	22/11/2016	14:34:29	18	TrialPrimaParte	fiorente	carro	0	523	2
28	24	Female	Right	B	22/11/2016	14:34:29	19	TrialPrimaParte	gesuita	gesue	2	555	1
28	24	Female	Right	B	22/11/2016	14:34:29	20	TrialPrimaParte	diamante	legifo	2	614	1
28	24	Female	Right	B	22/11/2016	14:34:29	21	TrialPrimaParte	fruttaiolo	frulore	2	813	1
28	24	Female	Right	B	22/11/2016	14:34:29	22	TrialPrimaParte	lunario	cavia	0	624	2
28	24	Female	Right	B	22/11/2016	14:34:29	23	TrialPrimaParte	staffa	scia	0	681	2
28	24	Female	Right	B	22/11/2016	14:34:29	24	TrialPrimaParte	normale	costo	0	472	2
28	24	Female	Right	B	22/11/2016	14:34:29	25	TrialPrimaParte	ideale	fama	0	474	2
28	24	Female	Right	B	22/11/2016	14:34:29	26	TrialPrimaParte	solamente	solpio	2	548	1
28	24	Female	Right	B	22/11/2016	14:34:29	27	TrialPrimaParte	granchio	putre	2	774	2
28	24	Female	Right	B	22/11/2016	14:34:29	28	TrialPrimaParte	senile	cono	0	580	2
28	24	Female	Right	B	22/11/2016	14:34:29	29	TrialPrimaParte	idrico	dito	0	543	1
28	24	Female	Right	B	22/11/2016	14:34:29	30	TrialPrimaParte	barile	bile	0	587	2
28	24	Female	Right	B	22/11/2016	14:34:29	31	TrialPrimaParte	lituano	trefi	2	559	1
28	24	Female	Right	B	22/11/2016	14:34:29	32	TrialPrimaParte	salotto	piano	0	510	2
28	24	Female	Right	B	22/11/2016	14:34:29	33	TrialPrimaParte	prefisso	prode	0	492	2
28	24	Female	Right	B	22/11/2016	14:34:29	34	TrialPrimaParte	serpente	sepre	2	750	1
28	24	Female	Right	B	22/11/2016	14:34:29	35	TrialPrimaParte	passerella	passero	1	599	2
28	24	Female	Right	B	22/11/2016	14:34:29	36	TrialPrimaParte	camerata	dose	0	711	2
28	24	Female	Right	B	22/11/2016	14:34:29	37	TrialPrimaParte	evenienza	mepitro	2	631	1
28	24	Female	Right	B	22/11/2016	14:34:29	38	TrialPrimaParte	beveraggio	beggio	2	667	1
