Subject	Age	Gender	Handedness	Rotation	Data	OraStart	TrialCount	TrialType	Prime	Target	Relatedness	rt	Resp
15	25	Male	Left	A	16/11/2016	09:15:24	1	Prova	produce	prode	4	779	2
15	25	Male	Left	A	16/11/2016	09:15:24	2	Prova	ricordo	rico	4	1103	1
15	25	Male	Left	A	16/11/2016	09:15:24	3	Prova	ribelle	ribes	4	1202	2
15	25	Male	Left	A	16/11/2016	09:15:24	4	Prova	prostata	prosta	4	1037	2
15	25	Male	Left	A	16/11/2016	09:15:24	5	Prova	dedotto	potto	4	873	1
15	25	Male	Left	A	16/11/2016	09:15:24	6	Prova2	prelato	lato	4	719	2
15	25	Male	Left	A	16/11/2016	09:15:24	7	Prova2	ripiano	piano	4	539	2
15	25	Male	Left	A	16/11/2016	09:15:24	8	Prova2	prefitto	fitto	4	866	2
15	25	Male	Left	A	16/11/2016	09:15:24	9	Prova2	distratto	abbo	4	895	1
15	25	Male	Left	A	16/11/2016	09:15:24	1	Warmup	rituale	pigiama	5	681	2
15	25	Male	Left	A	16/11/2016	09:15:24	2	Warmup	globale	glole	5	806	1
15	25	Male	Left	A	16/11/2016	09:15:24	3	Warmup	operaio	opera	5	645	2
15	25	Male	Left	A	16/11/2016	09:15:24	4	Warmup	privato	spugo	5	912	1
15	25	Male	Left	A	16/11/2016	09:15:24	5	Warmup	pugnal	pugn	5	734	1
15	25	Male	Left	A	16/11/2016	09:15:24	1	TrialPrimaParte	paniere	pana	2	843	1
15	25	Male	Left	A	16/11/2016	09:15:24	2	TrialPrimaParte	asmatico	asma	1	802	2
15	25	Male	Left	A	16/11/2016	09:15:24	3	TrialPrimaParte	lettiga	elgi	2	797	1
15	25	Male	Left	A	16/11/2016	09:15:24	4	TrialPrimaParte	faringe	faro	1	507	2
15	25	Male	Left	A	16/11/2016	09:15:24	5	TrialPrimaParte	paparazzo	pazo	2	795	1
15	25	Male	Left	A	16/11/2016	09:15:24	6	TrialPrimaParte	pigmento	costa	0	530	2
